REF_DATE,"Apple juice, 1.36 litres","Apples, 1 kilogram","Baby food, 128 millilitres","Bacon, 500 grams","Baked beans, canned, 398 millilitres","Bananas, 1 kilogram",Bathroom tissue (4 rolls),"Blade roast, 1 kilogram","Bread, 675 grams","Butter, 454 grams","Canned salmon, 213 grams","Carrots, 1 kilogram","Chicken, 1 kilogram",Cigarettes (200),"Coffee, instant, 200 grams","Coffee, roasted, 300 grams","Cooking or salad oil, 1 litre","Corn flakes, 675 grams","Deodorant, 60 grams","Eggs, 1 dozen","Evaporated milk, 385 millilitres",Facial tissue (200 tissues),"Flour, 2.5 kilograms","French fried potatoes, frozen, 1 kilogram","Ground beef, 1 kilogram","Homogenized milk, 4 litres","Ketchup, 1 litre","Macaroni, 500 grams","Mushrooms, 1 kilogram","Onions, 1 kilogram","Orange juice, 1 litre","Oranges, 1 kilogram",Paper towels (2 rolls),"Partly skimmed milk, 4 litres","Peanut butter, 500 grams","Pork chops, 1 kilogram","Potatoes, 4.54 kilograms","Prime rib roast, 1 kilogram","Processed cheese slices, 250 grams","Regular, unleaded gasoline at self-service stations, cents per litre","Round steak, 1 kilogram","Shampoo, 300 millilitres","Sirloin steak, 1 kilogram","Soda crackers, 450 grams","Soup, canned, 284 millilitres","Stewing beef, 1 kilogram","Sugar, white, 2 kilograms",Tea (72 bags),"Tomato juice, 1.36 litres","Tomatoes, canned, 796 millilitres","Toothpaste, 100 millilitres","Wieners, 450 grams"
2015-06,33,3,14,25,27,33,52,52,57,54,35,68,87,7,21,69,62,82,32,50,46,72,18,2,69,82,35,22,81,40,55,29,83,26,21,51,67,29,31,89,5,0,81,61,59,46,14,86,43,87,45,34
2015-07,51,93,6,46,76,68,61,58,72,67,70,90,57,9,40,74,72,96,13,14,79,14,60,54,45,18,89,14,83,21,94,70,62,48,34,12,30,56,50,12,83,1,78,95,4,81,53,26,28,55,14,13
2015-08,19,11,99,31,16,32,50,82,36,53,81,50,56,18,25,90,77,1,57,20,11,49,68,72,31,35,81,66,3,53,38,39,37,53,11,7,78,62,0,40,90,29,50,98,91,54,34,29,11,34,13,20
2015-09,78,11,11,16,56,76,13,10,92,95,46,59,20,68,2,16,38,8,18,14,43,3,49,59,96,71,22,75,15,39,80,61,44,90,99,15,75,52,66,84,47,82,91,79,47,48,40,69,49,3,99,19
2015-10,32,10,71,35,78,66,42,85,80,92,24,87,7,21,12,12,70,29,60,77,45,35,95,98,44,62,20,75,41,46,53,37,94,95,84,80,71,37,26,24,97,20,80,37,42,41,13,13,78,94,40,95
2015-11,65,52,88,8,28,93,1,7,63,12,70,17,31,70,52,2,60,43,54,59,78,10,40,84,58,33,95,19,87,59,74,25,30,63,62,38,5,35,11,75,30,76,38,55,59,53,88,69,39,67,55,77
2015-12,82,72,12,19,77,63,53,25,18,71,67,86,86,24,65,90,33,3,51,29,61,49,84,8,43,42,60,13,88,50,99,9,58,15,53,45,22,21,51,37,31,33,53,17,84,93,98,56,99,84,55,53
2016-01,38,86,41,14,6,58,0,85,27,43,7,21,25,29,80,88,21,4,78,91,79,69,24,92,49,33,44,40,28,44,42,31,87,58,35,68,51,38,92,66,72,83,8,64,74,70,68,43,76,66,15,22
2016-02,31,65,38,11,28,28,0,49,22,29,77,72,12,12,93,73,96,25,36,88,36,32,29,77,48,74,18,23,54,15,7,85,97,38,10,49,70,98,53,7,4,23,0,11,81,3,82,38,55,81,67,50
2016-03,46,18,49,71,51,15,44,28,62,52,39,67,93,49,38,60,19,36,71,25,74,62,92,10,61,2,53,10,4,18,11,0,37,30,3,78,46,4,10,74,51,43,3,62,65,17,50,58,44,9,87,55
2016-04,16,80,18,30,48,86,69,59,2,25,72,36,4,43,95,93,88,49,82,51,96,35,50,39,96,46,75,63,92,99,22,56,61,24,46,34,99,38,26,65,69,65,21,42,28,58,20,12,32,75,14,1
2016-05,44,79,42,50,15,35,54,40,80,47,13,22,11,84,83,10,65,94,90,8,79,48,58,31,79,18,76,87,38,9,28,52,18,14,39,49,73,70,15,34,98,25,4,21,99,10,50,27,18,56,80,7
2016-06,94,71,55,25,74,28,26,97,30,16,11,38,82,70,71,15,44,55,56,41,42,23,20,42,32,47,33,58,56,56,89,13,11,92,93,43,45,5,42,57,29,11,70,91,39,83,46,15,96,82,63,95
2016-07,81,27,42,12,41,36,74,7,86,62,13,78,76,28,73,32,67,26,86,12,92,81,75,29,4,52,21,57,27,66,56,82,37,25,52,77,8,18,17,8,30,1,22,91,40,91,60,93,49,18,50,82
2016-08,0,66,96,0,1,78,2,57,12,26,64,54,13,15,45,96,44,72,99,52,62,85,64,64,2,70,81,16,55,79,58,36,51,99,39,78,25,17,91,82,44,50,75,28,54,58,57,75,29,27,75,17
2016-09,89,48,12,49,99,76,86,24,69,47,24,94,7,93,68,20,18,55,0,43,38,89,10,45,73,48,61,18,73,24,84,88,88,77,83,51,9,48,36,55,58,59,13,93,89,30,47,76,76,87,31,14
2016-10,57,1,79,60,66,9,44,40,1,99,62,10,75,3,53,66,40,3,2,20,74,52,59,13,54,96,80,29,87,12,36,82,88,54,26,36,93,18,18,68,93,66,76,9,30,21,3,30,67,12,70,53
2016-11,88,90,12,50,91,22,79,34,92,62,19,93,66,88,73,99,58,14,14,97,45,21,19,46,39,28,40,67,80,68,65,11,22,54,71,96,98,33,26,76,34,90,6,25,77,52,17,54,97,97,70,28
2016-12,58,32,25,23,6,4,43,43,37,82,43,28,6,35,42,8,80,76,38,27,18,49,9,20,98,52,47,78,61,47,75,86,29,12,42,41,20,54,59,54,44,46,0,38,50,86,67,80,93,3,45,30
2017-01,0,97,47,45,92,11,5,40,16,99,46,81,61,9,62,12,29,95,27,62,3,2,35,72,23,3,55,71,72,77,41,8,34,35,34,79,91,10,35,20,20,23,22,51,56,91,38,73,19,92,53,90
2017-02,72,19,75,79,98,15,10,45,55,37,33,87,1,95,74,79,89,0,91,8,24,5,41,8,73,96,29,43,31,48,94,23,32,50,27,72,23,59,14,27,54,87,10,49,64,30,18,54,35,71,73,53
2017-03,5,71,21,44,15,41,56,54,90,75,7,28,37,88,34,99,81,29,43,70,92,43,50,9,92,1,40,81,16,8,73,50,83,39,49,6,88,2,77,11,37,94,43,28,9,63,40,9,46,62,19,90
2017-04,10,26,68,95,65,32,29,4,93,76,30,39,50,10,10,56,12,36,62,19,89,52,47,82,46,54,15,77,94,51,62,69,96,2,79,27,93,36,20,43,84,37,71,38,42,89,47,56,34,83,87,46
2017-05,87,84,38,89,94,90,98,46,25,94,78,87,2,64,37,59,11,62,76,57,95,76,99,13,48,28,30,89,3,38,37,70,10,9,46,99,3,70,89,98,17,70,2,17,86,7,5,29,9,22,81,54
2017-06,8,77,10,55,13,78,63,32,86,25,14,66,89,68,61,16,66,22,12,50,58,34,43,74,23,98,80,76,31,20,22,86,49,85,77,15,53,49,68,21,4,37,4,0,49,9,1,10,88,25,59,41
2017-07,64,5,83,53,6,33,26,8,35,13,68,20,23,68,1,35,48,5,16,46,54,63,86,90,38,14,29,41,71,75,36,14,14,34,45,24,5,58,55,58,98,24,90,6,47,90,48,48,67,0,90,20
2017-08,27,12,58,27,74,47,63,37,50,18,98,42,32,44,85,5,56,53,69,46,21,44,28,78,2,26,85,5,50,48,16,83,20,3,31,66,76,44,35,16,22,18,9,91,7,58,52,56,2,47,62,4
2017-09,44,74,55,58,6,73,66,46,59,27,54,32,65,27,53,26,69,41,69,29,39,62,73,97,79,66,85,28,55,69,97,15,48,8,18,30,5,26,32,52,31,94,28,37,19,34,83,78,92,1,63,32
2017-10,52,22,7,96,63,47,70,21,49,26,68,77,88,91,2,43,88,1,42,61,49,80,91,92,77,91,83,46,90,11,80,11,47,8,78,84,36,2,14,39,33,10,44,17,98,99,44,73,61,63,60,48
2017-11,86,70,33,44,35,27,85,35,54,38,84,71,1,74,40,16,90,86,44,86,57,25,71,28,82,52,57,14,64,19,22,84,89,56,44,37,7,22,64,3,86,69,57,45,9,24,13,35,5,14,48,2
2017-12,11,3,74,52,1,89,12,20,31,69,55,66,35,52,52,38,91,99,47,61,29,57,30,8,66,2,11,22,15,57,16,13,80,75,58,4,48,82,18,88,31,96,17,52,22,41,32,68,36,82,62,95
2018-01,90,75,83,30,19,8,49,87,57,11,25,78,8,13,0,68,33,95,1,4,97,96,77,17,14,88,22,5,11,59,92,78,93,84,3,19,68,66,26,28,49,57,39,23,25,27,65,43,82,84,10,50
2018-02,33,68,8,91,14,79,42,77,22,41,64,12,69,41,46,26,28,87,56,34,51,90,51,38,40,57,32,51,20,89,47,14,68,83,10,9,38,11,23,24,22,87,31,64,36,4,45,14,95,77,34,6
2018-03,70,44,1,53,21,36,35,10,85,78,83,34,38,53,5,48,55,34,20,11,27,21,5,30,66,95,21,1,65,62,94,74,10,19,45,37,1,65,22,78,61,22,29,6,64,5,13,38,64,3,28,27
2018-04,97,32,47,98,65,60,65,61,0,28,44,86,20,2,30,31,69,96,11,79,1,15,15,50,67,95,90,35,6,11,37,23,56,61,10,39,44,36,12,99,4,94,34,4,40,55,29,89,2,80,59,50
2018-05,51,21,11,86,22,42,1,62,50,65,31,44,12,1,68,82,89,41,88,29,70,12,76,30,88,33,96,22,6,43,93,75,0,82,78,7,3,81,87,87,58,78,8,25,49,60,84,77,35,51,98,25
2018-06,90,29,86,72,54,29,23,15,77,61,59,75,38,85,76,71,14,5,0,14,73,8,71,54,84,96,9,50,89,29,29,26,71,48,25,14,83,45,98,78,27,91,44,83,8,78,61,91,97,21,95,24
2018-07,56,18,10,20,9,12,60,3,98,61,54,74,11,60,29,66,19,89,23,57,38,63,31,37,33,13,93,77,88,46,12,97,13,24,40,87,33,12,9,38,68,57,20,56,68,39,82,79,35,31,23,59
2018-08,9,2,15,93,75,17,46,19,15,99,49,86,72,95,28,77,50,33,7,26,50,59,20,36,5,50,23,53,42,5,81,2,59,68,98,64,66,20,61,69,13,82,2,73,79,63,8,72,52,67,68,42
2018-09,50,36,43,23,9,7,3,44,26,1,96,63,46,27,31,7,30,37,82,72,93,8,20,83,51,47,10,93,85,86,91,20,4,23,84,5,47,23,71,77,38,88,79,35,3,78,48,86,1,52,23,89
2018-10,50,13,16,22,44,62,21,57,83,82,95,79,70,46,33,36,9,76,23,98,43,12,29,89,32,95,22,53,16,7,68,63,34,89,49,13,10,82,87,70,94,19,62,26,31,32,14,20,39,27,58,35
2018-11,91,71,75,54,27,50,63,43,85,14,44,39,52,76,12,13,44,90,26,2,68,62,35,81,59,5,92,40,19,25,2,4,9,9,77,51,25,30,61,23,45,95,40,12,87,40,65,92,46,98,29,95
2018-12,10,26,16,68,60,85,21,25,34,18,81,71,58,4,39,2,59,98,19,10,77,72,66,52,54,27,99,94,48,27,1,58,57,6,16,99,78,70,96,74,75,77,47,98,86,38,84,30,90,88,64,25
2019-01,67,32,78,94,46,73,62,25,23,89,97,16,57,11,79,58,12,97,23,84,52,36,65,28,84,41,35,21,5,54,64,7,2,27,89,23,37,91,63,66,75,16,84,77,2,26,47,78,4,79,5,69
2019-02,74,33,33,93,70,1,99,4,29,84,36,86,91,52,38,83,87,8,90,93,69,18,34,13,42,49,38,89,27,3,93,8,23,61,37,48,15,77,72,34,36,68,50,18,39,8,20,58,36,97,62,24
2019-03,69,99,44,65,80,51,6,25,29,65,71,11,80,85,68,49,93,67,71,45,75,77,67,48,45,99,91,37,53,30,67,35,62,5,41,86,79,7,21,68,36,48,60,0,49,86,65,34,33,60,57,51
2019-04,14,43,69,28,62,36,75,43,50,74,82,83,52,14,50,23,20,41,24,74,28,27,0,51,95,74,15,14,12,15,20,53,98,60,38,68,4,90,37,0,82,7,81,3,43,66,91,25,28,48,90,85
2019-05,6,2,67,9,4,20,33,86,7,48,54,35,77,10,37,88,22,82,58,47,22,90,2,3,40,31,27,21,79,29,81,31,44,31,85,96,53,72,33,92,59,41,60,20,83,64,5,92,57,30,23,9
2019-06,84,88,20,48,46,64,21,38,92,9,82,45,45,25,41,69,74,22,10,99,58,85,28,9,3,44,1,73,97,32,84,9,94,30,41,99,52,92,17,6,5,64,91,54,7,31,27,38,50,57,17,31
2019-07,6,29,31,91,60,80,90,54,37,38,19,69,36,70,81,87,76,56,58,51,81,61,3,52,23,34,10,8,45,28,6,30,4,61,38,86,46,34,9,47,51,44,28,40,76,94,69,96,19,69,40,99
2019-08,15,20,83,66,34,44,39,20,22,27,18,97,89,10,95,81,57,15,99,92,73,12,9,24,95,70,82,68,48,92,52,37,93,90,8,61,67,15,99,55,80,90,57,12,3,87,29,17,55,2,97,10
2019-09,67,70,9,79,85,30,50,61,40,50,73,13,97,93,46,55,16,55,69,84,77,88,28,31,0,48,33,66,55,39,15,91,29,91,33,28,81,39,87,66,10,76,6,81,86,23,15,86,72,65,51,61
2019-10,87,58,2,41,16,81,49,80,11,73,95,2,20,97,81,18,21,88,84,39,74,35,67,24,40,73,49,82,57,33,86,67,70,74,13,61,54,59,72,75,53,13,78,14,59,66,43,52,77,59,92,43
2019-11,99,79,82,85,85,3,0,52,95,23,15,53,6,41,22,7,69,21,63,24,25,93,1,42,61,91,55,47,52,18,96,3,53,61,83,95,37,62,59,55,14,25,30,69,77,20,84,71,64,43,25,39
2019-12,22,54,13,63,6,57,16,89,32,84,23,51,62,72,78,27,61,44,59,88,56,37,99,92,5,27,57,73,35,39,79,12,98,94,24,75,36,80,19,59,27,82,77,42,11,37,49,46,9,57,84,74
2020-01,34,53,39,74,1,24,99,60,85,44,78,10,61,19,0,84,0,72,60,61,78,88,59,64,71,34,65,61,55,88,33,82,57,44,1,35,11,20,32,52,6,95,40,77,10,21,53,45,27,82,92,40
2020-02,41,27,84,97,41,80,4,68,77,64,30,94,50,15,88,99,58,79,48,46,78,38,88,21,38,90,87,46,26,14,81,18,75,25,17,82,1,55,32,71,68,67,85,41,58,32,63,22,13,9,14,12
2020-03,81,3,67,41,86,44,6,71,65,95,96,65,60,39,70,70,81,99,68,23,70,5,16,79,24,26,13,69,49,99,61,76,30,92,21,77,17,39,21,48,78,35,96,17,20,43,47,2,43,99,27,28
2020-04,46,52,53,9,50,6,44,0,87,10,15,92,58,84,62,67,43,23,32,41,58,67,37,89,7,65,71,4,34,65,65,81,49,2,73,46,62,57,46,48,57,34,54,45,25,80,90,80,7,1,49,7
2020-05,35,54,52,35,85,39,2,69,17,77,61,90,75,89,99,62,47,61,30,98,7,98,60,97,27,16,61,73,60,31,54,62,17,20,19,35,53,47,76,6,38,29,92,34,37,98,85,6,20,64,76,98
2020-06,94,1,58,53,96,63,43,95,68,32,72,8,44,52,99,42,97,67,25,4,20,37,89,1,45,42,28,95,97,40,42,12,47,64,24,91,87,74,93,96,28,56,2,73,1,28,25,86,10,54,93,11
2020-07,25,66,45,5,56,28,43,33,14,50,83,64,62,7,63,9,68,11,50,51,39,94,72,29,83,80,45,20,31,66,56,90,50,94,51,36,26,34,71,28,96,2,19,24,36,48,99,42,83,48,37,45
2020-08,22,10,98,36,40,75,0,32,72,78,51,52,41,45,80,79,51,22,38,73,89,32,61,2,43,18,89,39,71,53,43,34,20,26,72,34,16,55,84,96,59,93,7,92,53,66,26,88,47,54,35,77
2020-09,93,24,55,4,44,63,68,64,49,89,17,63,32,86,83,32,7,27,22,79,6,0,58,96,5,57,33,80,19,10,16,61,10,57,46,83,85,22,78,11,53,21,53,85,52,54,55,39,11,19,73,66
2020-10,45,27,95,41,71,24,68,85,84,91,56,51,37,89,47,71,36,50,79,74,98,0,10,34,40,65,27,65,0,75,12,34,69,87,46,58,80,57,87,45,55,21,85,33,42,0,73,41,16,41,80,96
2020-11,56,16,11,60,72,86,17,79,38,55,95,8,63,79,97,94,2,14,48,3,24,71,48,6,88,28,9,25,83,70,88,3,93,13,82,15,2,10,32,63,38,50,64,11,12,1,48,26,90,61,10,23
2020-12,54,57,53,22,45,68,78,32,27,8,98,89,5,39,13,89,31,52,29,69,2,98,17,94,16,2,50,32,33,81,47,8,72,73,63,72,11,99,38,29,76,96,85,36,16,32,5,77,54,2,39,48
2021-01,61,22,40,23,37,93,60,69,58,92,22,45,74,44,94,10,86,5,97,58,35,5,46,74,49,3,1,9,6,86,85,53,48,95,96,56,8,50,28,71,93,89,94,81,85,12,87,57,59,5,15,21
2021-02,58,72,63,49,38,6,50,63,43,92,55,81,85,11,29,1,12,93,5,34,87,67,7,58,78,49,22,24,47,74,45,88,37,61,24,63,62,21,45,96,49,80,10,9,86,97,42,62,85,74,40,25
2021-03,93,57,71,90,91,66,79,40,93,94,85,31,92,56,33,1,24,57,72,11,96,71,73,76,68,29,3,27,42,74,0,11,70,73,47,54,31,77,96,62,2,92,40,27,12,45,60,97,94,22,90,33
2021-04,39,93,53,45,53,50,55,46,63,3,90,10,92,44,80,59,39,48,52,26,95,46,61,34,48,29,90,89,83,53,33,44,43,4,74,36,31,94,59,41,44,79,93,60,63,75,15,98,17,43,5,21
2021-05,98,22,43,61,12,9,18,50,50,79,65,74,73,53,34,56,36,37,24,3,49,57,69,6,89,63,7,0,86,98,83,18,47,94,51,51,32,42,79,80,51,29,23,56,68,60,49,29,26,44,52,48
2021-06,7,87,47,75,66,65,24,23,51,69,41,15,44,54,62,43,93,0,80,57,11,34,66,36,72,10,82,65,36,17,45,63,34,68,6,82,42,11,33,62,40,63,30,59,52,49,63,28,45,54,79,44
